DEVICEID,DEVICENAME,DESCRIPTION,STARTTIME,ENDTIME,INCOUNT,OUTCOUNT
2.0,계동길 69,계동교회 앞,2022-11-05 15:33:31,2022-11-05 15:43:31,8336.0,8083.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 15:33:31,2022-11-05 15:43:31,3694.0,4527.0
2.0,계동길 69,계동교회 앞,2022-11-05 15:43:31,2022-11-05 15:53:31,8588.0,8300.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 15:43:31,2022-11-05 15:53:31,3864.0,4758.0
2.0,계동길 69,계동교회 앞,2022-11-05 15:53:31,2022-11-05 16:03:31,8801.0,8503.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 15:53:31,2022-11-05 16:03:31,4119.0,5041.0
2.0,계동길 69,계동교회 앞,2022-11-05 16:03:31,2022-11-05 16:13:31,9037.0,8743.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 16:03:31,2022-11-05 16:13:31,4353.0,5294.0
2.0,계동길 69,계동교회 앞,2022-11-05 16:13:31,2022-11-05 16:23:31,9293.0,8979.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 16:13:31,2022-11-05 16:23:31,4566.0,5538.0
2.0,계동길 69,계동교회 앞,2022-11-05 16:23:31,2022-11-05 16:33:31,9546.0,9230.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 16:23:31,2022-11-05 16:33:31,4835.0,5755.0
2.0,계동길 69,계동교회 앞,2022-12-03 18:00:41,2022-12-03 18:10:41,7837.0,9747.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-03 18:00:41,2022-12-03 18:10:41,4246.0,4899.0
2.0,계동길 69,계동교회 앞,2022-11-05 16:33:31,2022-11-05 16:43:31,9787.0,9470.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 16:33:31,2022-11-05 16:43:31,5067.0,5992.0
2.0,계동길 69,계동교회 앞,2022-11-05 16:43:31,2022-11-05 16:53:31,10008.0,9662.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 16:43:31,2022-11-05 16:53:31,5270.0,6257.0
2.0,계동길 69,계동교회 앞,2022-11-05 16:53:31,2022-11-05 17:03:31,10203.0,9919.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 16:53:31,2022-11-05 17:03:31,5491.0,6535.0
2.0,계동길 69,계동교회 앞,2022-11-05 17:03:31,2022-11-05 17:13:31,10573.0,10207.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 17:03:31,2022-11-05 17:13:31,5705.0,6778.0
2.0,계동길 69,계동교회 앞,2022-11-05 17:13:31,2022-11-05 17:23:31,10909.0,10491.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 17:13:31,2022-11-05 17:23:31,5962.0,7018.0
2.0,계동길 69,계동교회 앞,2022-11-05 17:23:31,2022-11-05 17:33:31,11222.0,10741.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 17:23:31,2022-11-05 17:33:31,6158.0,7215.0
2.0,계동길 69,계동교회 앞,2022-11-05 17:33:31,2022-11-05 17:43:31,11537.0,11009.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 17:33:31,2022-11-05 17:43:31,6353.0,7438.0
2.0,계동길 69,계동교회 앞,2022-11-05 17:43:31,2022-11-05 17:53:31,11738.0,11215.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 17:43:31,2022-11-05 17:53:31,6533.0,7609.0
2.0,계동길 69,계동교회 앞,2022-11-05 17:53:31,2022-11-05 18:03:31,11848.0,11393.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 17:53:31,2022-11-05 18:03:31,6741.0,7750.0
2.0,계동길 69,계동교회 앞,2022-11-05 18:03:31,2022-11-05 18:13:31,11923.0,11544.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 18:03:31,2022-11-05 18:13:31,6874.0,7887.0
2.0,계동길 69,계동교회 앞,2022-11-05 18:13:31,2022-11-05 18:23:31,12014.0,11717.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 18:13:31,2022-11-05 18:23:31,7072.0,8050.0
2.0,계동길 69,계동교회 앞,2022-11-05 18:23:31,2022-11-05 18:33:31,12125.0,11873.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 18:23:31,2022-11-05 18:33:31,7238.0,8196.0
2.0,계동길 69,계동교회 앞,2022-11-05 18:33:31,2022-11-05 18:43:31,12221.0,12024.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 18:33:31,2022-11-05 18:43:31,7386.0,8288.0
2.0,계동길 69,계동교회 앞,2022-11-05 18:43:31,2022-11-05 18:53:31,12323.0,12153.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 18:43:31,2022-11-05 18:53:31,7555.0,8422.0
2.0,계동길 69,계동교회 앞,2022-11-05 18:53:31,2022-11-05 19:03:31,12426.0,12265.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 18:53:31,2022-11-05 19:03:31,7680.0,8513.0
2.0,계동길 69,계동교회 앞,2022-11-05 19:03:31,2022-11-05 19:13:31,12493.0,12411.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 19:03:31,2022-11-05 19:13:31,7816.0,8581.0
2.0,계동길 69,계동교회 앞,2022-11-05 19:13:31,2022-11-05 19:23:31,12566.0,12474.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 19:13:31,2022-11-05 19:23:32,7934.0,8664.0
2.0,계동길 69,계동교회 앞,2022-11-05 19:23:32,2022-11-05 19:33:32,12649.0,12568.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 19:23:32,2022-11-05 19:33:32,8063.0,8808.0
2.0,계동길 69,계동교회 앞,2022-11-05 19:33:32,2022-11-05 19:43:32,12687.0,12652.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 19:33:32,2022-11-05 19:43:32,8143.0,8887.0
2.0,계동길 69,계동교회 앞,2022-11-05 19:43:32,2022-11-05 19:53:32,12722.0,12717.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 19:43:32,2022-11-05 19:53:32,8209.0,8952.0
2.0,계동길 69,계동교회 앞,2022-11-05 19:53:32,2022-11-05 20:03:32,12785.0,12784.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 19:53:32,2022-11-05 20:03:32,8259.0,9015.0
2.0,계동길 69,계동교회 앞,2022-11-05 20:03:32,2022-11-05 20:13:32,12835.0,12869.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 20:03:32,2022-11-05 20:13:32,8326.0,9092.0
2.0,계동길 69,계동교회 앞,2022-11-05 20:13:32,2022-11-05 20:23:32,12864.0,12944.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 20:13:32,2022-11-05 20:23:32,8396.0,9140.0
2.0,계동길 69,계동교회 앞,2022-11-05 20:23:32,2022-11-05 20:33:32,12893.0,12999.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 20:23:32,2022-11-05 20:33:32,8461.0,9181.0
2.0,계동길 69,계동교회 앞,2022-11-05 20:33:32,2022-11-05 20:43:32,12926.0,13061.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 20:33:32,2022-11-05 20:43:32,8535.0,9248.0
2.0,계동길 69,계동교회 앞,2022-11-05 20:43:32,2022-11-05 20:53:32,12959.0,13120.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 20:43:32,2022-11-05 20:53:32,8598.0,9304.0
2.0,계동길 69,계동교회 앞,2022-11-05 20:53:32,2022-11-05 21:03:32,12989.0,13190.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 20:53:32,2022-11-05 21:03:32,8640.0,9361.0
2.0,계동길 69,계동교회 앞,2022-11-05 21:03:32,2022-11-05 21:13:32,13008.0,13234.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 21:03:32,2022-11-05 21:13:32,8707.0,9400.0
2.0,계동길 69,계동교회 앞,2022-11-05 21:13:32,2022-11-05 21:23:32,13040.0,13278.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 21:13:32,2022-11-05 21:23:32,8739.0,9437.0
2.0,계동길 69,계동교회 앞,2022-11-05 21:23:32,2022-11-05 21:33:32,13080.0,13338.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 21:23:32,2022-11-05 21:33:32,8764.0,9458.0
2.0,계동길 69,계동교회 앞,2022-11-05 21:33:32,2022-11-05 21:43:32,13113.0,13368.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 21:33:32,2022-11-05 21:43:32,8787.0,9488.0
2.0,계동길 69,계동교회 앞,2022-12-01 13:00:41,2022-12-01 13:10:41,5277.0,7244.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 13:00:41,2022-12-01 13:10:41,3571.0,1341.0
2.0,계동길 69,계동교회 앞,2022-11-05 21:43:32,2022-11-05 21:53:32,13142.0,13406.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 21:43:32,2022-11-05 21:53:32,8812.0,9501.0
2.0,계동길 69,계동교회 앞,2022-11-05 21:53:32,2022-11-05 22:03:32,13168.0,13465.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 21:53:32,2022-11-05 22:03:32,8822.0,9517.0
2.0,계동길 69,계동교회 앞,2022-11-05 22:03:32,2022-11-05 22:13:32,13205.0,13535.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 22:03:32,2022-11-05 22:13:32,8849.0,9537.0
2.0,계동길 69,계동교회 앞,2022-11-05 22:13:32,2022-11-05 22:23:32,13225.0,13581.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 22:13:32,2022-11-05 22:23:32,8874.0,9574.0
2.0,계동길 69,계동교회 앞,2022-11-05 22:23:32,2022-11-05 22:33:32,13252.0,13616.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 22:23:32,2022-11-05 22:33:32,8881.0,9587.0
2.0,계동길 69,계동교회 앞,2022-11-05 22:33:32,2022-11-05 22:43:32,13268.0,13656.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 22:33:32,2022-11-05 22:43:32,8911.0,9619.0
2.0,계동길 69,계동교회 앞,2022-11-05 22:43:32,2022-11-05 22:53:32,13299.0,13686.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 22:43:32,2022-11-05 22:53:32,8916.0,9639.0
2.0,계동길 69,계동교회 앞,2022-11-05 22:53:32,2022-11-05 23:03:32,13319.0,13726.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 22:53:32,2022-11-05 23:03:32,8921.0,9639.0
2.0,계동길 69,계동교회 앞,2022-11-05 23:03:32,2022-11-05 23:13:32,13333.0,13754.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 23:03:32,2022-11-05 23:13:32,8927.0,9644.0
2.0,계동길 69,계동교회 앞,2022-11-05 23:13:32,2022-11-05 23:23:32,13346.0,13776.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 23:13:32,2022-11-05 23:23:32,8927.0,9655.0
2.0,계동길 69,계동교회 앞,2022-11-05 23:23:32,2022-11-05 23:33:32,13368.0,13812.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 23:23:32,2022-11-05 23:33:32,8931.0,9661.0
2.0,계동길 69,계동교회 앞,2022-11-05 23:33:32,2022-11-05 23:43:32,13383.0,13840.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 23:33:32,2022-11-05 23:43:32,8933.0,9661.0
2.0,계동길 69,계동교회 앞,2022-11-05 23:43:32,2022-11-05 23:53:32,13392.0,13856.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-05 23:43:32,2022-11-05 23:53:32,8941.0,9672.0
2.0,계동길 69,계동교회 앞,2022-11-06 00:00:39,2022-11-06 00:10:39,26.0,27.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 00:00:39,2022-11-06 00:10:39,6.0,2.0
2.0,계동길 69,계동교회 앞,2022-11-06 00:10:39,2022-11-06 00:20:39,30.0,41.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 00:10:39,2022-11-06 00:20:39,10.0,7.0
2.0,계동길 69,계동교회 앞,2022-11-06 00:20:39,2022-11-06 00:30:39,43.0,70.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 00:20:39,2022-11-06 00:30:39,19.0,7.0
2.0,계동길 69,계동교회 앞,2022-11-06 00:30:39,2022-11-06 00:40:39,62.0,97.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 00:30:39,2022-11-06 00:40:39,28.0,9.0
2.0,계동길 69,계동교회 앞,2022-11-06 00:40:39,2022-11-06 00:50:39,76.0,125.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 00:40:39,2022-11-06 00:50:39,28.0,9.0
2.0,계동길 69,계동교회 앞,2022-11-06 00:50:39,2022-11-06 01:00:39,86.0,152.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 00:50:39,2022-11-06 01:00:39,28.0,9.0
2.0,계동길 69,계동교회 앞,2022-11-06 01:00:39,2022-11-06 01:10:39,96.0,172.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 01:00:39,2022-11-06 01:10:39,31.0,17.0
2.0,계동길 69,계동교회 앞,2022-11-06 01:10:39,2022-11-06 01:20:39,101.0,193.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 01:10:39,2022-11-06 01:20:39,31.0,24.0
2.0,계동길 69,계동교회 앞,2022-11-06 01:20:39,2022-11-06 01:30:39,112.0,211.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 01:20:39,2022-11-06 01:30:39,39.0,24.0
2.0,계동길 69,계동교회 앞,2022-11-06 01:30:39,2022-11-06 01:40:39,115.0,225.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 01:30:39,2022-11-06 01:40:39,39.0,24.0
2.0,계동길 69,계동교회 앞,2022-11-06 01:40:39,2022-11-06 01:50:39,119.0,243.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 01:40:39,2022-11-06 01:50:39,41.0,24.0
2.0,계동길 69,계동교회 앞,2022-11-06 01:50:39,2022-11-06 02:00:39,128.0,252.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 01:50:39,2022-11-06 02:00:39,41.0,24.0
2.0,계동길 69,계동교회 앞,2022-11-06 02:00:39,2022-11-06 02:10:39,136.0,272.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 02:00:39,2022-11-06 02:10:39,41.0,26.0
2.0,계동길 69,계동교회 앞,2022-11-06 02:10:39,2022-11-06 02:20:39,154.0,294.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 02:10:39,2022-11-06 02:20:39,41.0,26.0
2.0,계동길 69,계동교회 앞,2022-11-06 02:20:39,2022-11-06 02:30:39,168.0,310.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 02:20:39,2022-11-06 02:30:39,41.0,30.0
2.0,계동길 69,계동교회 앞,2022-11-06 02:30:39,2022-11-06 02:40:39,170.0,327.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 02:30:39,2022-11-06 02:40:39,44.0,30.0
2.0,계동길 69,계동교회 앞,2022-11-06 02:40:39,2022-11-06 02:50:39,175.0,344.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 02:40:39,2022-11-06 02:50:39,49.0,30.0
2.0,계동길 69,계동교회 앞,2022-11-06 02:50:39,2022-11-06 03:00:39,185.0,369.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 02:50:39,2022-11-06 03:00:39,49.0,30.0
2.0,계동길 69,계동교회 앞,2022-11-06 03:00:39,2022-11-06 03:10:39,193.0,393.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 03:00:39,2022-11-06 03:10:39,49.0,44.0
2.0,계동길 69,계동교회 앞,2022-11-06 03:10:39,2022-11-06 03:20:39,196.0,411.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 03:10:39,2022-11-06 03:20:39,49.0,44.0
2.0,계동길 69,계동교회 앞,2022-11-06 03:20:39,2022-11-06 03:30:39,207.0,454.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 03:20:39,2022-11-06 03:30:39,49.0,44.0
2.0,계동길 69,계동교회 앞,2022-12-02 20:00:42,2022-12-02 20:10:42,10523.0,14324.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-02 20:00:42,2022-12-02 20:10:42,7812.0,5645.0
2.0,계동길 69,계동교회 앞,2022-11-06 03:30:39,2022-11-06 03:40:39,208.0,483.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 03:30:39,2022-11-06 03:40:39,49.0,44.0
2.0,계동길 69,계동교회 앞,2022-11-06 03:40:39,2022-11-06 03:50:39,210.0,505.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 03:40:39,2022-11-06 03:50:39,49.0,44.0
2.0,계동길 69,계동교회 앞,2022-11-06 03:50:39,2022-11-06 04:00:39,218.0,517.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 03:50:39,2022-11-06 04:00:39,54.0,47.0
2.0,계동길 69,계동교회 앞,2022-12-04 10:40:41,2022-12-04 10:50:41,929.0,1793.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-04 10:40:41,2022-12-04 10:50:41,556.0,345.0
2.0,계동길 69,계동교회 앞,2022-11-06 04:00:39,2022-11-06 04:10:39,228.0,544.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 04:00:39,2022-11-06 04:10:39,54.0,47.0
2.0,계동길 69,계동교회 앞,2022-11-06 04:10:39,2022-11-06 04:20:39,238.0,555.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 04:10:39,2022-11-06 04:20:39,54.0,47.0
2.0,계동길 69,계동교회 앞,2022-11-06 04:20:39,2022-11-06 04:30:39,252.0,589.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 04:20:39,2022-11-06 04:30:39,54.0,47.0
2.0,계동길 69,계동교회 앞,2022-12-05 21:30:41,2022-12-05 21:40:41,5379.0,8555.0
2.0,계동길 69,계동교회 앞,2022-11-06 04:30:39,2022-11-06 04:40:39,263.0,604.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 04:30:39,2022-11-06 04:40:39,54.0,51.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-05 21:30:41,2022-12-05 21:40:41,7256.0,5233.0
2.0,계동길 69,계동교회 앞,2022-11-06 04:40:39,2022-11-06 04:50:39,274.0,628.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 04:40:39,2022-11-06 04:50:39,54.0,51.0
2.0,계동길 69,계동교회 앞,2022-12-06 07:00:40,2022-12-06 07:10:40,234.0,663.0
2.0,계동길 69,계동교회 앞,2022-11-06 04:50:39,2022-11-06 05:00:39,282.0,658.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 04:50:39,2022-11-06 05:00:39,56.0,51.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-06 07:00:40,2022-12-06 07:10:40,687.0,234.0
2.0,계동길 69,계동교회 앞,2022-11-06 05:00:39,2022-11-06 05:10:39,290.0,684.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 05:00:39,2022-11-06 05:10:39,56.0,51.0
2.0,계동길 69,계동교회 앞,2022-12-06 15:50:40,2022-12-06 16:00:40,7189.0,9095.0
2.0,계동길 69,계동교회 앞,2022-11-06 05:10:39,2022-11-06 05:20:39,298.0,720.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 05:10:39,2022-11-06 05:20:39,56.0,53.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-06 15:50:40,2022-12-06 16:00:40,4661.0,2781.0
2.0,계동길 69,계동교회 앞,2022-11-06 05:20:39,2022-11-06 05:30:39,309.0,751.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 05:20:39,2022-11-06 05:30:39,56.0,53.0
2.0,계동길 69,계동교회 앞,2022-12-06 23:30:41,2022-12-06 23:40:41,8381.0,11635.0
2.0,계동길 69,계동교회 앞,2022-11-06 05:30:39,2022-11-06 05:40:39,311.0,784.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 05:30:39,2022-11-06 05:40:39,58.0,72.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-06 23:30:41,2022-12-06 23:40:41,7811.0,5638.0
2.0,계동길 69,계동교회 앞,2022-11-06 05:40:39,2022-11-06 05:50:39,320.0,796.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 05:40:39,2022-11-06 05:50:39,60.0,72.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-07 06:40:41,2022-12-07 06:50:41,270.0,112.0
2.0,계동길 69,계동교회 앞,2022-11-06 05:50:39,2022-11-06 06:00:39,324.0,829.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 05:50:39,2022-11-06 06:00:39,62.0,72.0
2.0,계동길 69,계동교회 앞,2022-12-07 06:40:41,2022-12-07 06:50:41,240.0,816.0
2.0,계동길 69,계동교회 앞,2022-11-06 06:00:39,2022-11-06 06:10:39,332.0,847.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 06:00:39,2022-11-06 06:10:39,62.0,72.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-07 13:40:41,2022-12-07 13:50:41,3822.0,2315.0
2.0,계동길 69,계동교회 앞,2022-11-06 06:10:39,2022-11-06 06:20:39,333.0,867.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 06:10:39,2022-11-06 06:20:39,67.0,80.0
2.0,계동길 69,계동교회 앞,2022-12-07 13:40:41,2022-12-07 13:50:41,6160.0,7457.0
2.0,계동길 69,계동교회 앞,2022-11-06 06:20:39,2022-11-06 06:30:39,337.0,887.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 06:20:39,2022-11-06 06:30:39,67.0,85.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-07 20:20:42,2022-12-07 20:30:42,7542.0,5628.0
2.0,계동길 69,계동교회 앞,2022-11-06 06:30:39,2022-11-06 06:40:39,351.0,912.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 06:30:39,2022-11-06 06:40:39,73.0,96.0
2.0,계동길 69,계동교회 앞,2022-12-07 20:20:42,2022-12-07 20:30:42,8068.0,11008.0
2.0,계동길 69,계동교회 앞,2022-11-06 06:40:39,2022-11-06 06:50:39,364.0,951.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 06:40:39,2022-11-06 06:50:39,73.0,98.0
2.0,계동길 69,계동교회 앞,2022-12-08 02:40:40,2022-12-08 02:50:40,96.0,189.0
2.0,계동길 69,계동교회 앞,2022-11-06 06:50:39,2022-11-06 07:00:39,387.0,983.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 06:50:39,2022-11-06 07:00:39,76.0,98.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-08 02:40:40,2022-12-08 02:50:40,141.0,37.0
2.0,계동길 69,계동교회 앞,2022-12-08 08:50:41,2022-12-08 09:00:40,876.0,1445.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-08 08:50:41,2022-12-08 09:00:41,1718.0,379.0
2.0,계동길 69,계동교회 앞,2022-12-08 14:20:41,2022-12-08 14:30:41,4131.0,5576.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-08 14:20:41,2022-12-08 14:30:41,4460.0,2646.0
2.0,계동길 69,계동교회 앞,2022-12-08 19:40:41,2022-12-08 19:50:41,5605.0,8317.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-08 19:40:41,2022-12-08 19:50:41,8077.0,5946.0
2.0,계동길 69,계동교회 앞,2022-12-01 13:10:41,2022-12-01 13:20:41,5483.0,7526.0
2.0,계동길 69,계동교회 앞,2022-11-06 07:00:39,2022-11-06 07:10:39,431.0,1044.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 07:00:39,2022-11-06 07:10:39,78.0,100.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 13:10:41,2022-12-01 13:20:41,3639.0,1400.0
2.0,계동길 69,계동교회 앞,2022-11-06 07:10:39,2022-11-06 07:20:39,565.0,1228.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 07:10:39,2022-11-06 07:20:39,84.0,108.0
2.0,계동길 69,계동교회 앞,2022-12-02 20:10:42,2022-12-02 20:20:42,10533.0,14377.0
2.0,계동길 69,계동교회 앞,2022-11-06 07:20:39,2022-11-06 07:30:39,794.0,1424.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 07:20:39,2022-11-06 07:30:39,93.0,118.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-02 20:10:42,2022-12-02 20:20:42,7860.0,5712.0
2.0,계동길 69,계동교회 앞,2022-11-06 07:30:39,2022-11-06 07:40:39,1039.0,1675.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 07:30:39,2022-11-06 07:40:39,94.0,122.0
2.0,계동길 69,계동교회 앞,2022-12-03 18:10:41,2022-12-03 18:20:41,7917.0,9864.0
2.0,계동길 69,계동교회 앞,2022-11-06 07:40:39,2022-11-06 07:50:39,1271.0,1866.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 07:40:39,2022-11-06 07:50:39,96.0,122.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-03 18:10:41,2022-12-03 18:20:41,4325.0,5127.0
2.0,계동길 69,계동교회 앞,2022-11-06 07:50:39,2022-11-06 08:00:39,1555.0,2050.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 07:50:39,2022-11-06 08:00:39,98.0,123.0
2.0,계동길 69,계동교회 앞,2022-12-04 10:50:41,2022-12-04 11:00:41,997.0,1890.0
2.0,계동길 69,계동교회 앞,2022-11-06 08:00:39,2022-11-06 08:10:39,1803.0,2269.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 08:00:39,2022-11-06 08:10:39,102.0,129.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-04 10:50:41,2022-12-04 11:00:41,586.0,357.0
2.0,계동길 69,계동교회 앞,2022-11-06 08:10:39,2022-11-06 08:20:39,2051.0,2536.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 08:10:39,2022-11-06 08:20:39,122.0,159.0
2.0,계동길 69,계동교회 앞,2022-12-05 00:20:39,2022-12-05 00:30:39,10.0,7.0
2.0,계동길 69,계동교회 앞,2022-11-06 08:20:39,2022-11-06 08:30:39,2280.0,2716.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 08:20:39,2022-11-06 08:30:39,139.0,172.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-05 00:20:39,2022-12-05 00:30:39,5.0,6.0
2.0,계동길 69,계동교회 앞,2022-11-06 08:30:39,2022-11-06 08:40:40,2554.0,2951.0
4.0,북촌로5가길 38,삼청파출소 사잇길,2022-11-06 08:30:39,2022-11-06 08:40:40,147.0,174.0
2.0,계동길 69,계동교회 앞,2022-12-05 11:30:40,2022-12-05 11:40:40,1695.0,2613.0
